category,comparison_prediction,has_ocr,id,image_label,input_mode,label,mm_label,model,prediction,seed,source,split,text_label
correct_prediction,,False,540,0,caption,1,1,dt4mid-phobert,1,123,threads,test,1
correct_prediction,,True,3054,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,3867,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4031,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,1767,1,caption,0,0,dt4mid-phobert,1,123,threads,test,0
error_001,,True,1598,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,850,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,True,5978,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,3709,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,5963,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,5782,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,4722,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1801,0,caption,1,1,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,2768,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,5737,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
error_001,,False,1824,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
error_001,,True,2321,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,False,2851,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,255,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1103,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,True,4004,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,1591,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,False,2861,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
error_001,,True,797,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,7007,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,2333,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,1448,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
correct_prediction,,True,993,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,1978,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,5035,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4647,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4922,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,525,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,3878,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,2139,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,314,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,2482,1,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,5580,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,196,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,True,6755,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,6488,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,5335,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,592,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6168,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,False,5293,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,423,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,6189,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,1155,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,5197,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,464,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6645,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
false_positive,,False,3992,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,True,2916,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,6098,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,735,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,134,1,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,6907,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
false_positive,,True,793,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
error_001,,False,4475,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,4403,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6491,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,533,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
correct_prediction,,False,6861,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,4136,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6962,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
error_001,,True,1716,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6983,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,3705,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,3887,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,4269,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,860,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,2042,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
error_001,,True,5835,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
false_positive,,False,1953,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,6414,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,6537,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
false_positive,,False,5825,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
false_positive,,True,2096,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,2627,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
false_positive,,False,2757,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,1684,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,True,2005,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,5927,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,5014,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,4892,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,5589,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,2206,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,False,5202,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,2656,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,1329,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
correct_prediction,,True,613,1,caption,1,1,dt4mid-phobert,1,123,threads,test,1
error_001,,True,47,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6746,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
error_001,,False,3398,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,3695,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,3365,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
correct_prediction,,True,513,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,False,7022,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
false_positive,,True,2459,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,1813,0,caption,1,1,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,True,1761,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,800,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,107,0,caption,0,0,dt4mid-phobert,1,123,threads,test,1
correct_prediction,,True,980,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4819,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,4321,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,True,1126,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1570,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,2368,1,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,4037,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1635,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,6894,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,5474,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1791,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
correct_prediction,,False,6547,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
error_001,,True,7209,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,5072,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,7123,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,2233,1,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,1452,1,caption,1,1,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,2015,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
error_001,,False,6784,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,403,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6090,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,False,677,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,True,6493,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,False,5495,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,5802,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
error_001,,True,6800,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,False,3949,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,True,2320,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,False,3805,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6404,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,False,4036,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,2397,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,3609,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4950,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,6884,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,False,7228,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,4770,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,2744,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,4924,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,5906,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,6375,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
error_001,,True,2438,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,7181,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
error_001,,False,4611,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
error_001,,True,3164,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
error_001,,True,2929,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
error_001,,False,6564,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,3857,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1054,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,6734,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,7011,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
false_positive,,False,5961,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
false_positive,,True,2064,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,3666,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,False,1392,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,3125,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,5288,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,6679,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,False,591,0,caption,1,1,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,6634,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,1280,1,caption,1,1,dt4mid-phobert,1,123,threads,test,0
false_positive,,False,889,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,5371,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,715,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,2463,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
error_001,,True,4461,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,4232,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,True,3372,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
false_positive,,False,4881,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,True,1480,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
correct_prediction,,True,116,0,caption,1,1,dt4mid-phobert,1,123,threads,test,0
false_positive,,True,6181,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,721,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,5590,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,False,4504,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,1121,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,5224,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1623,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4503,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,188,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
error_001,,True,276,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4625,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,4164,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,True,6329,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,4964,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,4669,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,4201,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,2830,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,1714,0,caption,1,1,dt4mid-phobert,1,123,threads,test,0
error_001,,True,209,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
error_001,,True,4048,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6968,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,2151,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,5565,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,6476,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,5666,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,3827,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,False,1207,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,6735,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,2077,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
false_positive,,True,932,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,True,235,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,593,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,2166,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,6353,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,137,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4545,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4901,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,333,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4040,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,289,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,361,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,2216,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,2356,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,1686,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,6644,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
false_positive,,True,2715,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,3510,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,5575,0,caption,1,1,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,True,548,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,427,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,5880,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,False,4651,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,3635,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,4510,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,5245,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,2629,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,5061,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,2280,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,6615,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
false_positive,,True,3850,0,caption,0,0,dt4mid-phobert,1,123,threads,test,0
correct_prediction,,False,3533,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,7009,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,5548,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,2215,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
false_positive,,True,2229,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,5999,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
error_001,,True,2947,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,4088,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,1574,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,2713,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,3881,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1734,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,6961,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,4575,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,1417,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,3267,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,1298,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,7214,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,5140,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,7215,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
error_001,,True,619,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,2544,1,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,2894,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,668,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
error_001,,True,308,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,1107,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
correct_prediction,,False,834,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,30,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,2564,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,3673,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,2048,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,2303,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,4498,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,5995,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,1464,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,2831,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,147,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,7328,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
false_positive,,False,2818,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,5703,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,691,0,caption,1,1,dt4mid-phobert,1,123,threads,test,1
correct_prediction,,False,817,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,3622,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,5024,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,2203,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,6536,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,204,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
error_001,,True,491,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
false_positive,,False,1960,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,False,718,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,6394,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
error_001,,False,53,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
false_positive,,False,2787,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,5089,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,2882,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,1789,0,caption,0,0,dt4mid-phobert,0,123,threads,test,1
error_001,,False,6978,0,caption,1,1,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,6577,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
correct_prediction,,True,3769,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,335,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,True,5219,0,caption,0,0,dt4mid-phobert,0,123,threads,test,0
false_positive,,True,7086,0,caption,0,0,dt4mid-phobert,1,123,facebook,test,0
error_001,,True,3896,0,caption,1,1,dt4mid-phobert,0,123,threads,test,0
correct_prediction,,False,1930,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,1
correct_prediction,,True,2590,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,True,7049,0,caption,0,0,dt4mid-phobert,0,123,facebook,test,0
correct_prediction,,False,2805,0,caption,1,1,dt4mid-phobert,1,123,facebook,test,0
